Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
TownePlace Suites by Marriott San Diego Downtown,San-Diego,993,8.2,3,542,8.4,8.8,8.6,8.8,8.1,8.5,8.9,1.4,1.1,3.3,7.0,2,True
Best Western Cabrillo Garden Inn,San-Diego,"1,061",8.0,3,353,8.6,8.4,8.8,8.3,7.6,7.9,7.8,1.5,1.3,3.6,7.0,2,False
Surfer Beach ,San-Diego,822,7.3,3,512,9.5,7.3,8.9,7.6,7.0,6.9,7.8,7,4.2,9,5.0,4,True
Grande Colonial La Jolla,San-Diego,924,8.9,4,213,9.7,9.3,9.3,9.3,8.1,8.9,9.2,9,4.8,15,5.0,2,False
La Pensione ,San-Diego,684,8.3,3,609,9.6,8.6,9.0,8.8,8.2,8.2,8.2,1.3,750,2.4,4.0,3,False
The Sofia ,San-Diego,"1,312",7.6,4,478,8.7,7.9,8.6,8.1,7.1,7.6,,1.1,450,3.2,4.0,2,True
Old Town Inn,San-Diego,704,8.6,2,"3,033",8.5,9.0,9.4,8.9,8.8,8.7,8.4,2.6,400,2.3,6.0,2,True
Orli La Jolla,San-Diego,"1,030",10,0,8,9.7,10,10,10,9.7,10,10,9,5,15,,1,True
San Diego Marriott Gaslamp Quarter,San-Diego,975,7.9,4,678,9.2,8.5,8.5,8.5,7.5,8.1,,1.8,1.4,4.1,7.0,2,False
Pendry San Diego,San-Diego,"1,298",8.8,5,275,9.5,9.4,9.2,9.4,8.1,9.2,9.4,1.7,1.3,4,4.0,1,True
Hilton San Diego Bayfront,San-Diego,"1,052",8.0,4,"1,393",9.0,8.6,8.4,8.7,7.4,8.4,7.0,2,1.8,4.5,7.0,1,True
Best Western PLUS Island Palms  & Marina,San-Diego,629,8.4,3,837,9.4,8.7,8.9,8.6,8.2,8.5,8.2,4.7,5,2.4,7.0,1,False
Andaz San Diego - a Concept by Hyatt,San-Diego,"1,010",8.0,5,435,8.5,8.5,8.8,8.6,7.5,8.3,7.7,1.5,1.1,3.8,6.0,4,True
Ramada by Wyndham near SeaWorld / Mission Beach,San-Diego,515,7.0,2,602,7.9,7.5,7.8,7.6,7.1,7.1,7.4,4.5,1.7,3.4,3.0,3,False
The Bristol  San Diego,San-Diego,849,7.9,4,"1,403",8.6,8.4,8.4,8.4,7.8,8.1,8.3,1.2,550,3.2,8.0,2,False
Beach Haven,San-Diego,787,8.2,2,318,9.3,8.6,9.1,8.7,8.3,8.3,8.5,8,4.1,10,4.0,1,False
Courtyard by Marriott San Diego Gaslamp/Convention Center,San-Diego,976,8.3,3,241,9.2,8.7,8.9,8.7,8.0,8.4,,1.7,1.3,4,7.0,1,False
Courtyard by Marriott San Diego Downtown,San-Diego,"1,106",8.4,4,622,8.5,8.8,8.9,8.8,8.0,8.5,8.0,1.3,950,3.6,7.0,2,False
DoubleTree by Hilton San Diego Del Mar,San-Diego,761,7.3,3,"1,538",8.2,7.9,8.2,7.9,7.2,7.6,8.0,8,3.9,22,7.0,2,True
Tower 23 ,San-Diego,"1,336",9.1,4,215,9.7,9.3,9.5,9.4,8.0,9.2,8.1,7,4.2,9,4.0,2,False
Hampton Inn San Diego Downtown,San-Diego,"1,068",8.0,3,"2,156",9.0,8.4,8.6,8.5,7.8,8.1,8.1,1.7,550,2.3,10.0,2,False
Homewood Suites by Hilton San Diego Airport-Liberty Station,San-Diego,945,8.7,3,317,9.3,9.1,9.2,9.0,8.3,8.9,8.0,3.8,3.3,2.4,6.0,2,True
Hilton San Diego Airport/Harbor Island,San-Diego,"1,008",8.3,3,"1,249",9.2,8.9,8.7,8.8,8.0,8.6,8.2,3.5,3.5,2,7.0,6,True
Courtyard by Marriott San Diego Mission Valley/ Circle,San-Diego,"1,017",7.9,3,"1,425",8.6,8.3,8.3,8.3,7.6,8.0,7.5,3.1,3,3.7,7.0,2,False
