Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Sleep Inn Atlanta Airport,Atlanta,306.0,7.1,2,478.0,8.1,7.6,7.9,7.6,7.3,7.1,7.4,14.0,1.7,2.7,5.0,3.0,False
Comfort Inn Atlanta Downtown,Atlanta,304.0,5.1,3,569.0,6.8,5.9,7.1,6.0,5.8,5.4,5.8,2.8,1.8,11.0,6.0,1.0,False
"Country Inn & Suites by Radisson, Smyrna, GA",Atlanta,417.0,8.1,3,832.0,8.7,8.5,8.8,8.4,8.2,8.2,8.3,10.0,9.0,18.0,4.0,2.0,False
" Clermont Atlanta, by Oliver",Atlanta,659.0,8.8,4,267.0,9.3,9.3,9.3,9.3,8.5,9.1,9.2,2.0,2.0,13.0,4.0,1.0,True
Hyatt Place Atlanta Centennial Park,Atlanta,822.0,8.3,3,1681.0,9.1,8.9,8.8,8.9,8.2,8.7,8.4,1.0,0.75,14.0,4.0,1.0,True
Hilton Garden Inn Atlanta Downtown,Atlanta,537.0,8.2,3,1173.0,9.1,8.6,8.7,8.7,7.9,8.4,8.2,0.9,0.65,14.0,6.0,1.0,False
Hyatt House Atlanta Cobb Galleria,Atlanta,912.0,8.4,3,931.0,9.0,8.6,9.0,8.6,8.3,8.6,8.6,8.0,9.0,14.0,9.0,2.0,True
Hampton Inn Atlanta-Georgia Tech-Downtown,Atlanta,489.0,7.9,2,300.0,8.6,8.4,8.8,8.3,7.9,8.1,8.3,0.95,0.8,15.0,8.0,1.0,True
Hyatt House Atlanta Downtown,Atlanta,516.0,7.6,3,1176.0,8.4,8.1,8.5,8.2,7.6,8.0,7.8,1.2,0.9,14.0,7.0,2.0,True
Wingate by Wyndham Atlanta Galleria/ Ballpark,Atlanta,1080.0,7.9,2,1355.0,8.8,8.4,8.4,8.4,8.0,8.2,8.1,9.0,11.0,16.0,4.0,2.0,False
The Westin Atlanta Perimeter North,Atlanta,603.0,8.4,3,672.0,8.9,8.9,9.0,8.8,8.4,8.7,7.904301075268817,9.0,0.6,7.0,7.0,1.0,True
Wylie ,Atlanta,712.0,8.7,4,172.0,8.9,9.4,9.0,9.3,8.5,9.0,7.904301075268817,1.8,1.7,13.0,5.0,1.0,True
" Indigo Atlanta Airport College Park, an IHG Hotel",Atlanta,414.0,7.7,3,663.0,8.3,8.3,8.5,8.4,7.8,8.1,8.0,11.0,0.3,2.4,6.0,1.0,True
Hilton Atlanta,Atlanta,701.0,7.5,4,4464.0,8.4,8.0,8.2,8.1,7.5,7.8,7.904301075268817,0.9,0.4,14.0,7.0,1.0,True
Atlanta Airport Marriott,Atlanta,584.0,8.1,4,413.0,8.6,8.5,8.7,8.6,7.9,8.5,8.6,0.015,2.2,3.4,7.0,2.0,False
"Holiday Inn Express  & Suites Atlanta Buckhead, an IHG Hotel",Atlanta,405.0,7.9,3,1020.0,8.4,8.3,8.7,8.3,8.0,8.1,8.6,4.2,0.75,8.0,7.0,2.0,False
The Ritz-Carlton Atlanta,Atlanta,1577.0,8.3,5,483.0,8.6,8.9,9.0,9.0,8.0,8.7,7.904301075268817,0.6,0.1,14.0,7.0,2.0,False
W Atlanta Downtown,Atlanta,1103.0,7.8,4,758.0,8.6,8.4,8.6,8.4,7.5,8.2,7.904301075268817,0.95,0.2,15.0,6.0,1.0,True
