Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Boston Harbor ,Boston,"2,591",9.0,5,137,9.6,9.5,9.3,9.4,8.0,9.1,8.1,500,400,3.3,6.0,3,True
Mandarin Oriental Boston,Boston,"3,521",8.1,5,48,9.4,8.8,8.8,9.1,7.0,8.3,,1.2,550,6,6.0,4,True
"The Liberty, a Luxury Collection , Boston",Boston,"2,097",8.2,5,273,9.1,8.9,8.7,8.9,7.5,8.5,9.4,850,100,4.9,7.0,2,True
Inn at St. Botolph,Boston,"1,141",8.9,3,189,9.7,9.2,9.3,9.2,8.9,8.9,7.8,1.4,450,6,4.0,3,False
Residence Inn by Marriott Boston Downtown Seaport,Boston,"1,635",8.8,3,47,9.4,9.0,8.9,9.0,8.2,8.7,5.0,1.2,600,3.4,5.0,1,True
"Heart of South End, Convenient, Comfy Studio #42",Boston,"1,250",8.1,6,33,9.0,8.0,8.0,8.3,7.5,7.7,8.0,600,350,6,4.0,1,
"Charming Studio in Boston Brownstone, C. Ave #33",Boston,"1,250",7.6,6,10,8.5,9.0,7.3,8.8,7.5,8.5,,600,350,6,4.0,1,
Renu At Back Bay,Boston,"1,527",7.6,6,156,9.0,8.2,7.7,8.1,7.4,8.0,8.0,1.2,350,6,,1,
"Stylish Downtown Studio in the SouthEnd, C.Ave #43",Boston,"1,250",5.2,6,5,7.0,7.0,6.0,6.5,5.0,6.0,,600,350,6,4.0,1,
"Stylish Downtown Studio in the Boston, C.Ave #34",Boston,"1,250",8.1,6,7,9.3,8.2,8.2,8.6,8.2,8.6,,600,350,6,4.0,1,
"Centrally located Studio in the SouthEnd, #25",Boston,"1,250",7.8,6,12,8.3,8.3,8.0,8.3,7.3,7.5,,600,350,6,4.0,1,
"South End Studio, Ideal for Boston Travelers #23",Boston,"1,250",6.2,6,5,7.5,7.0,7.5,7.0,6.5,5.5,,600,350,6,4.0,1,
"Charming Studio in Boston Brownstone, #44",Boston,"1,250",7.3,6,20,8.5,8.1,7.0,7.8,6.3,7.1,7.5,600,350,6,4.0,1,
"Heart of South End, Convenient, Comfy Studio #22",Boston,"1,250",7.0,6,26,9.4,7.9,7.4,7.8,6.6,7.2,7.5,600,350,6,4.0,1,
"Stylish Downtown Studio in the SouthEnd, C.Ave #24",Boston,"1,250",6.8,6,10,7.8,7.5,7.8,7.8,7.0,7.3,,600,350,6,4.0,1,
"Stylish Downtown Studio in the SouthEnd, C.Ave# 3",Boston,"1,247",7.3,6,3,10,6.7,7.5,8.3,6.7,7.5,,600,350,6,4.0,1,
