Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Canopy by Hilton Washington DC Embassy Row,Washington,891.0,8.7,3,323.0,9.1,9.2,9.1,9.2,8.5,8.9,8.5,1.1,0.45,6.0,4.0,2,True
Hyatt Place Washington DC/US Capitol,Washington,924.0,7.1,3,3401.0,7.1,7.8,7.7,7.8,7.3,7.5,8.2,1.8,0.4,7.0,6.0,3,True
Hilton Garden Inn Washington DC Downtown,Washington,1301.0,8.1,3,1458.0,9.3,8.6,8.6,8.6,8.0,8.3,8.3,0.6,0.15,6.0,7.0,2,False
Courtyard by Marriott Washington Capitol Hill/Navy Yard,Washington,1027.0,8.1,3,371.0,8.8,8.5,8.6,8.7,7.9,8.2,7.9,1.4,0.3,4.4,9.0,2,True
Thompson Washington D.C.,Washington,780.0,8.7,4,209.0,9.2,9.2,9.1,9.2,8.1,8.9,8.159821428571426,1.8,0.45,4.3,5.0,1,True
 Madera,Washington,832.0,9.2,4,1046.0,9.5,9.6,9.6,9.6,8.9,9.3,9.4,2.0,0.25,6.0,4.0,3,True
Hilton Club The District Washington DC,Washington,961.0,8.6,4,155.0,9.1,8.7,9.0,8.8,8.4,8.8,8.3,1.8,0.55,6.0,6.0,2,False
"The Ritz-Carlton Georgetown, Washington, D.C.",Washington,3006.0,8.6,5,48.0,9.5,9.3,9.5,9.2,8.1,9.0,8.159821428571426,1.6,1.1,6.0,7.0,11,True
Hilton Washington DC Capitol Hill,Washington,1119.0,8.5,4,672.0,9.0,9.0,8.9,9.0,8.2,8.6,8.2,1.1,0.3,6.0,4.0,1,True
"The Mayflower , Autograph Collection",Washington,1326.0,8.1,5,314.0,9.2,8.7,8.6,8.6,7.8,8.1,8.159821428571426,1.0,0.15,6.0,7.0,4,True
Beacon  & Corporate Quarters,Washington,832.0,7.2,4,1513.0,8.7,7.9,7.8,8.0,7.1,7.2,7.5,0.9,0.45,6.0,9.0,3,True
Hyatt Place Washington DC/White House,Washington,1164.0,8.0,3,3251.0,9.3,8.5,8.7,8.5,8.1,8.2,8.2,0.95,0.2,6.0,6.0,4,True
Capital Hilton,Washington,1482.0,7.7,4,859.0,9.2,8.3,8.5,8.3,7.6,7.8,8.159821428571426,1.1,0.3,6.0,7.0,10,True
"Marriott Vacation Club Pulse at The Mayflower, Washington, D.C.",Washington,1130.0,8.2,4,7.0,8.9,9.6,8.9,8.9,7.9,8.6,8.159821428571426,1.0,0.15,6.0,7.0,1,False
Courtyard by Marriott Washington Downtown/Convention Center,Washington,1264.0,8.6,3,1438.0,9.0,9.2,8.6,9.2,8.5,8.9,8.3,0.8,0.25,6.0,6.0,2,False
"The Westin Washington, D.C. City Center",Washington,1074.0,8.1,4,210.0,8.8,8.6,8.7,8.6,7.9,8.3,8.8,1.1,0.5,6.0,6.0,5,True
Fairfield Inn & Suites by Marriott Washington Downtown,Washington,1110.0,8.1,3,928.0,8.8,8.5,8.8,8.5,8.0,8.2,7.8,0.85,0.3,6.0,7.0,1,True
Hilton Washington DC National Mall The Wharf,Washington,1574.0,8.2,4,966.0,9.1,8.7,8.5,8.8,7.9,8.5,7.6,0.8,0.25,4.0,9.0,1,False
AC  Washington DC Convention Center,Washington,1165.0,8.5,4,518.0,9.2,9.0,8.8,9.0,8.4,8.7,9.2,0.85,0.3,6.0,9.0,2,True
