Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Embassy Suites by Hilton Dallas-Love Field,Dallas,609,8.6,3,941,9.0,9.0,8.9,8.9,8.6,8.8,,7,6,1.7,7.0,1,True
DoubleTree by Hilton Dallas Near the Galleria,Dallas,449,8.2,3,611,8.8,8.6,8.7,8.6,8.3,8.4,8.2,9,10,5,4.0,2,True
Magnolia  Downtown Dallas,Dallas,863,7.7,4,631,9.0,8.2,8.6,8.3,7.6,7.8,8.0,800,900,9,5.0,2,True
DoubleTree by Hilton Dallas Market Center,Dallas,448,7.6,3,424,8.2,8.2,8.5,8.1,7.6,7.9,8.8,2.7,750,6,7.0,2,False
Home2 Suites by Hilton Dallas Downtown at Baylor Scott & White,Dallas,458,8.0,3,594,8.7,8.6,8.4,8.6,8.0,8.4,8.1,2.2,2.8,9,6.0,1,True
"HALL Arts  Dallas, Curio Collection by Hilton",Dallas,"1,278",8.8,5,458,9.2,9.3,9.2,9.4,8.4,9.2,8.8,1.1,1.6,8,9.0,1,True
The Joule,Dallas,"1,371",8.7,4,216,9.2,9.2,9.1,9.4,8.3,9.1,,750,"1,000",9,5.0,1,True
"Holiday Inn Express & Suites - Dallas Park Central Northeast, an IHG ",Dallas,399,7.9,0,73,8.1,8.9,8.9,8.8,8.3,8.6,,6,4.2,11,7.0,1,
Hampton Inn & Suites Dallas East,Dallas,289,8.4,3,476,8.5,8.8,8.5,8.8,8.5,8.7,7.9,7,10,16,10.0,1,False
SpringHill Suites by Marriott Dallas Richardson/University Area,Dallas,429,9.0,3,367,9.1,9.4,9.1,9.4,9.1,9.4,8.8,13,14,8,5.0,2,False
"The Highland Dallas, Curio Collection by Hilton",Dallas,752,8.1,4,206,8.9,8.7,8.9,8.5,7.6,8.2,,3.9,6,7,8.0,2,True
"Kimpton - Pittman , an IHG Hotel",Dallas,955,9.0,4,228,9.1,9.4,9.4,9.6,8.7,9.3,5.0,1.7,2,9,7.0,3,True
Alexis  & Banquets Dallas Park Central Galleria,Dallas,277,7.1,3,"1,524",7.6,7.6,7.7,7.6,7.6,7.3,7.9,6,6,8,9.0,2,False
Dallas Marriott Suites Medical/Market Center,Dallas,464,8.0,3,351,8.5,8.5,8.4,8.5,8.1,8.2,7.4,4.1,450,4.8,7.0,1,False
Residence Inn Dallas Park Central,Dallas,477,8.1,3,83,8.4,8.5,8.8,8.6,8.2,8.0,,6,6,8,7.0,1,True
Hilton Dallas-Park Cities,Dallas,762,8.3,4,101,9.1,8.9,8.7,8.8,7.9,8.7,7.2,9,7,4.2,7.0,2,False
TownePlace Suites by Marriott Dallas Downtown,Dallas,391,7.3,3,528,7.4,8.0,7.8,8.0,7.7,7.8,7.9,1.2,950,9,6.0,1,True
AC  By Marriott Dallas By The Galleria,Dallas,684,8.8,4,509,9.0,9.1,8.9,9.1,8.7,9.1,8.5,8,10,4.9,7.0,2,False
Best Western Plus Dallas Love Field North ,Dallas,266,7.0,4,"1,391",7.3,7.5,8.1,7.6,7.6,7.3,8.2,11,3.8,6,4.0,2,False
Hampton Inn & Suites Dallas Market Center,Dallas,406,8.6,3,236,8.8,9.1,8.7,9.0,8.5,8.8,7.9,6,1.8,4,6.0,1,False
La Quinta Inn & Suites by Wyndham Dallas/Fairpark,Dallas,292,7.5,3,676,8.3,8.1,8.0,8.2,8.0,7.9,,7,10,16,6.0,1,True
La Quinta by Wyndham Dallas North Central,Dallas,356,7.6,3,942,8.2,8.0,8.4,8.0,7.8,7.8,7.8,4.7,3.8,9,9.0,2,True
Home2 Suites By Hilton Dallas North Park,Dallas,406,8.2,3,837,8.7,8.6,8.6,8.7,8.5,8.6,8.8,6,3.6,9,6.0,3,True
Studio 6 Suites Dallas TX Downtown,Dallas,240,6.7,2,13,7.5,7.3,7.3,7.3,6.9,6.9,,2.7,750,6,4.0,1,True
