Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
El Cortez  & Casino Adults Over 21 Only,Las-Vegas,127,7.6,3,"2,262",8.3,8.0,8.2,8.0,8.0,7.8,8.1,7,3.4,7,3.0,1.0,False
Golden Gate Casino ,Las-Vegas,82,6.5,3,881,8.2,7.2,8.0,7.1,7.2,6.8,7.5,7,3.3,6,4.0,2.0,False
Arizona Charlie's Decatur,Las-Vegas,203,7.1,3,"1,444",7.7,7.4,7.9,7.5,7.3,7.3,6.9,6,5,5,4.0,2.0,False
Hampton Inn & Suites Las Vegas South,Las-Vegas,502,8.8,2,456,9.0,9.3,9.2,9.3,8.8,9.0,9.1,11,12,2.6,7.0,2.0,True
Best Western Plus Las Vegas South Henderson,Las-Vegas,505,8.2,3,294,8.7,8.7,8.7,8.7,8.0,8.4,8.6,11,11,3.1,7.0,2.0,True
Courtyard Las Vegas South,Las-Vegas,553,8.2,3,131,8.4,8.7,8.9,8.9,8.0,8.6,8.9,11,1.3,3,9.0,2.0,True
Jet Luxury at The Vdara,Las-Vegas,405,8.0,4,700,8.9,8.5,8.6,8.6,8.0,8.3,8.0,8,500,3.2,4.0,2.0,
Fairfield Inn & Suites Las Vegas Airport South,Las-Vegas,522,8.5,3,66,8.9,8.6,9.0,8.9,8.1,8.5,,7,4.4,3,5.0,1.0,
Alexis Park All Suite Resort,Las-Vegas,374,7.6,3,"3,393",8.1,8.0,8.1,8.1,7.9,7.7,7.9,7,1.2,2.9,6.0,1.0,True
Jockey Resort Suites Center Strip,Las-Vegas,464,8.4,3,809,9.5,8.7,8.7,8.8,8.8,8.3,8.4,8,550,3.8,5.0,2.0,
La Quinta by Wyndham Las Vegas RedRock/Summerlin,Las-Vegas,684,8.0,3,326,8.8,8.4,8.7,8.4,7.8,8.0,7.2,11,13,12,5.0,2.0,True
Residence Inn by Marriott Las Vegas Convention Center,Las-Vegas,581,8.6,3,317,8.8,9.0,9.0,9.0,8.5,8.7,9.3,2.2,150,6,7.0,2.0,True
Silver Sevens  & Casino,Las-Vegas,128,6.5,3,"2,397",7.5,7.0,7.4,7.1,7.0,6.8,7.2,3.5,1.4,3.5,4.0,3.0,False
Tru By Hilton Las Vegas Airport NV,Las-Vegas,405,8.6,2,492,8.8,9.0,9.1,8.9,8.5,8.9,9.0,6,3.4,2.3,5.0,1.0,False
TownePlace Suites by Marriott Las Vegas City Center,Las-Vegas,581,8.8,3,70,8.7,9.2,9.2,9.1,8.9,9.1,8.3,9,1.1,3.5,5.0,1.0,True
Residence Inn by Marriott Las Vegas Airport,Las-Vegas,701,9.0,3,73,9.4,9.2,9.3,9.2,8.7,9.2,8.1,7,4.9,4.1,7.0,2.0,True
Hampton Inn & Suites Las Vegas-Henderson,Las-Vegas,437,8.4,3,315,8.8,9.0,9.0,9.0,8.4,8.7,10,3.9,13,10,7.0,2.0,True
"Motel 6-Las Vegas, NV - Tropicana",Las-Vegas,220,6.6,2,"1,863",7.9,7.1,7.7,7.0,7.0,6.8,6.7,8,350,2.4,4.0,1.0,True
The Artisan Boutique  - Adult Only,Las-Vegas,275,6.9,3,202,7.1,7.3,8.0,7.3,7.2,7.2,7.9,3.1,1.4,7,5.0,2.0,True
Oasis at Gold Spike - Adults Only,Las-Vegas,134,6.4,3,"2,521",7.7,7.0,7.6,7.0,7.1,6.7,7.5,7,3.5,7,6.0,3.0,False
Thunderbird Boutique ,Las-Vegas,170,6.8,2,702,6.6,7.4,7.6,7.4,7.2,6.9,7.3,2.8,1.6,7,5.0,2.0,False
Baymont by Wyndham Las Vegas South Strip,Las-Vegas,392,6.5,2,"1,207",7.8,6.9,8.0,7.0,7.0,6.7,7.2,7,4.9,4.1,4.0,2.0,True
Longhorn Boulder Highway,Las-Vegas,210,7.5,2,"1,757",7.6,7.8,8.5,7.8,8.0,7.5,,10,9,9,4.0,1.0,True
Sonesta Select Las Vegas Summerlin,Las-Vegas,522,7.8,3,368,8.2,8.2,8.5,8.2,7.7,7.9,8.4,11,10,4.9,9.0,4.0,True
Extended Stay America Suites - Las Vegas - Midtown,Las-Vegas,310,7.0,2,221,7.6,7.3,7.6,7.5,7.0,7.2,8.1,4,1.4,6,6.0,1.0,True
Serene Vegas Boutique ,Las-Vegas,242,7.1,3,"1,642",7.7,7.7,7.8,7.7,7.5,7.3,7.0,2.9,1.3,2.9,4.0,1.0,False
Homewood Suites by Hilton Las Vegas Airport,Las-Vegas,473,8.8,3,265,8.8,9.2,9.2,9.2,8.5,9.0,,6,3.4,2.3,7.0,1.0,False
Courtyard by Marriott Henderson - Green Valley - Las Vegas,Las-Vegas,770,7.7,3,171,8.2,8.5,8.5,8.5,7.8,8.0,10,6,9,6,7.0,2.0,False
Best Western Plus North Las Vegas Inn & Suites,Las-Vegas,377,8.1,3,340,7.5,8.7,9.0,8.4,8.2,8.2,8.3,15,12,9,4.0,3.0,False
Residence Inn by Marriott Las Vegas Hughes Center,Las-Vegas,522,8.4,3,204,8.9,8.8,9.0,8.8,8.4,8.5,8.9,3.5,1.2,3.8,7.0,2.0,True
"Motel 6-Las Vegas, NV - I-15 Stadium",Las-Vegas,203,6.7,2,"1,201",7.6,7.1,7.8,7.1,7.0,7.0,6.6,9,950,3.4,4.0,1.0,True
Hampton Inn Las Vegas/Summerlin,Las-Vegas,435,8.7,3,331,8.7,9.3,9.1,9.3,8.6,8.9,7.5,13,11,4.9,7.0,2.0,False
"Holiday Inn Express  and Suites - Henderson, an IHG Hotel",Las-Vegas,470,8.0,3,565,8.6,8.5,8.9,8.4,8.1,8.2,8.5,3.9,13,10,7.0,2.0,True
Hampton Inn Tropicana,Las-Vegas,493,8.6,3,"2,087",8.6,9.0,9.0,9.0,8.4,8.8,8.8,9,1.1,3.6,8.0,4.0,True
Element Las Vegas Summerlin,Las-Vegas,924,5.6,3,7,8.3,8.3,7.5,8.3,5.0,7.5,,9,14,15,7.0,2.0,True
Extended Stay America Suites - Las Vegas - Valley View,Las-Vegas,294,4.8,2,238,6.6,5.4,6.6,5.5,5.4,5.2,7.3,8,2,4.9,6.0,1.0,True
Hampton Inn & Suites Las Vegas-Red Rock/Summerlin,Las-Vegas,613,8.2,3,226,8.7,8.6,8.9,8.5,8.1,8.3,7.8,11,12,14,5.0,2.0,False
OYO Gateway Motel Las Vegas North Strip Fremont St Area,Las-Vegas,451,2.7,1,116,4.8,3.9,4.8,4.0,3.6,3.6,3.0,5,2,7,4.0,1.0,False
Hawthorn Suites Las Vegas,Las-Vegas,368,7.4,3,536,7.8,8.0,8.5,7.9,7.6,7.5,8.1,7,,13,5.0,2.0,True
Best Western Plus Las Vegas West,Las-Vegas,565,7.8,3,420,8.4,8.2,8.3,8.3,7.7,8.0,8.7,10,11,11,7.0,2.0,True
Hilton Garden Inn Las Vegas/Henderson,Las-Vegas,358,7.6,3,124,8.1,8.6,8.1,8.6,7.5,8.1,7.1,4.2,12,10,8.0,1.0,True
Super 8 by Wyndham Las Vegas North Strip/Fremont St. Area,Las-Vegas,105,5.9,2,938,6.4,6.7,7.0,6.8,6.5,6.3,6.4,2.7,1.7,7,5.0,2.0,False
Strip view 1 Br suite 2 full bath full kitchen no resort fee,Las-Vegas,821,9.1,4,20,9.0,9.3,9.3,9.4,9.1,9.3,,8,500,3.2,,2.0,
Homewood Suites by Hilton South Las Vegas,Las-Vegas,560,8.9,3,112,8.8,9.3,9.2,9.0,8.7,9.2,5.0,6,12,4.1,7.0,1.0,False
Las Vegas Marriott,Las-Vegas,708,8.3,4,227,8.2,8.7,8.9,8.8,8.1,8.4,6.0,2.2,350,6,7.0,4.0,False
Fairfield Inn & Suites Las Vegas Northwest,Las-Vegas,522,8.3,3,97,8.9,9.1,8.9,8.8,7.9,8.8,9.6,18,16,8,5.0,1.0,True
Bridger Inn  Downtown,Las-Vegas,523,5.7,2,58,7.6,6.8,7.6,6.6,6.0,6.1,8.8,6,3.1,6,4.0,2.0,False
Palms Place Private Luxury Panoramic Suite,Las-Vegas,"1,017",7.6,6,18,8.4,8.1,8.2,7.9,7.6,8.1,,8,2.8,6,,1.0,
Extended Stay America Suites - Las Vegas - East Flamingo,Las-Vegas,294,5.9,2,121,6.9,6.3,7.3,6.1,6.4,6.0,6.4,3.5,2.6,4.1,6.0,1.0,True
SpringHill Suites by Marriott Las Vegas North Speedway,Las-Vegas,993,9.0,3,47,8.8,9.4,9.5,9.3,8.7,9.3,,15,12,8,6.0,1.0,False
Artisan  Boutique #518,Las-Vegas,328,8.7,0,3,6.7,7.5,10,8.3,8.3,9.2,,3.1,1.4,7,3.0,,False
Signature at MGM,Las-Vegas,568,8.7,6,17,9.3,8.8,9.6,9.0,8.5,9.1,10,8,450,3.1,,1.0,
OYO Oasis Motel Las Vegas I-15,Las-Vegas,377,3.1,2,143,5.3,4.3,6.2,4.2,4.2,4.0,6.0,2.7,950,8,4.0,1.0,False
"Motel 6-Las Vegas, NV - Boulder Hwy",Las-Vegas,237,6.5,2,640,7.0,6.9,7.7,6.9,6.6,6.7,6.9,7,6,8,4.0,1.0,True
Arizona Charlie's Boulder,Las-Vegas,168,6.8,2,964,7.5,7.1,7.8,7.2,7.1,7.0,6.8,8,7,8,4.0,1.0,False
Hampton Inn Las Vegas/North Speedway,Las-Vegas,554,8.1,3,158,8.5,8.7,8.7,8.7,7.9,8.4,8.4,15,12,8,6.0,1.0,True
Comfort Inn & Suites Las Vegas - Nellis,Las-Vegas,454,7.7,3,172,7.9,8.2,8.6,8.3,7.8,7.9,8.1,16,13,11,5.0,2.0,False
TownePlace Suites by Marriott Las Vegas North I-15,Las-Vegas,890,8.8,5,10,8.8,9.3,9.0,9.3,8.8,9.0,,18,15,12,5.0,1.0,
Amazing High Rise Studio with Mountains Views 21st Floor,Las-Vegas,443,7.0,8,1,5.0,7.5,10,7.5,7.5,7.5,,8,2.6,6,4.0,1.0,
TownePlace Suites Las Vegas Airport South,Las-Vegas,546,6.5,3,14,8.0,7.9,6.8,7.3,6.7,7.1,,7,4.4,2.9,5.0,1.0,True
Jet Luxury Elite at The Signature,Las-Vegas,306,7.6,4,79,8.3,8.2,7.9,8.3,7.6,8.2,,8,400,3.1,3.0,1.0,
Private Studio - No Resort Fee - The Signature at MGM Grand,Las-Vegas,362,8.0,8,1,7.5,5.0,7.5,7.5,7.5,7.5,,8,500,3.1,,2.0,
STRIP VIEW! Privately Owned Condo -The Signature at MGM,Las-Vegas,723,7.0,6,20,8.8,8.3,7.3,8.0,7.4,8.0,,8,500,3.2,,1.0,
"My Place -North Las Vegas, NV",Las-Vegas,462,7.9,2,170,8.3,8.5,8.6,8.5,7.9,8.3,9.2,14,11,7,4.0,2.0,True
"Studio 6 North Las Vegas, NV",Las-Vegas,235,4.5,2,158,5.2,5.3,6.1,5.4,5.3,5.2,4.6,11,8,7,4.0,1.0,True
2100 SqFt Penthouse Suite W/ Strip Views! POOL GYM,Las-Vegas,"2,192",9.1,8,58,9.1,9.3,8.8,9.0,9.0,9.0,8.8,3,450,3.7,,1.0,
Motel 6 Henderson NV,Las-Vegas,261,4.7,2,15,6.2,5.8,7.7,5.8,5.7,5.3,,4.5,18,15,4.0,1.0,True
Beautiful High Rise Condo-307,Las-Vegas,464,7.7,6,16,8.8,8.0,9.1,8.4,8.4,8.2,7.5,8,2.8,6,,1.0,
Artisan  Boutique 523,Las-Vegas,359,6.4,0,5,7.0,6.5,8.0,7.0,7.0,6.5,7.5,3.1,1.4,7,3.0,,False
Aviation Inn,Las-Vegas,"1,714",5.7,2,576,6.4,6.4,7.5,6.4,6.3,6.0,7.2,16,14,13,7.0,2.0,False
Artisan  Boutique #522,Las-Vegas,343,4.0,0,2,5.0,5.0,6.3,5.0,5.0,5.0,,3.1,1.4,7,3.0,,False
Palms Place amazing Strip View 20th floor,Las-Vegas,443,6.9,6,5,8.5,7.0,7.0,7.0,6.0,7.0,,8,2.6,6,4.0,1.0,
Palms Place Las Vegas Strip View Studio Suite 22,Las-Vegas,443,6.5,8,2,6.3,6.3,7.5,5.0,6.3,5.0,,8,2.6,6,4.0,1.0,
 Apache,Las-Vegas,168,7.3,3,344,8.7,8.0,8.0,7.7,8.1,7.5,7.0,7,3.5,6,4.0,6.0,False
