Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
The Graham Georgetown,Washington,"2,161",8.5,4,303,9.6,8.8,8.9,8.8,7.9,8.5,8.8,1.1,950,6,4.0,3,True
"Courtyard Washington, DC/U.S. Capitol",Washington,838,7.6,3,945,8.0,8.3,8.3,8.4,7.9,7.9,,1.3,100,7,7.0,1,True
"Residence Inn by Marriott Washington, DC National Mall",Washington,"1,061",8.0,3,364,8.8,8.5,8.4,8.6,7.9,8.2,7.4,950,200,4.3,7.0,1,False
HighRoad Washington DC,Washington,"1,001",8.9,3,457,9.0,9.2,9.5,9.0,9.0,9.1,9.5,1.6,1.1,8,4.0,1,False
Residence Inn by Marriott Washington - DC/Foggy Bottom,Washington,958,8.2,3,168,9.4,8.6,8.9,8.6,8.3,8.3,8.8,1.1,200,6,7.0,1,True
The Watergate  Georgetown,Washington,"1,749",7.7,5,634,8.6,8.5,8.5,8.5,7.1,8.1,7.9,950,400,6,5.0,9,True
"Kimpton Banneker , an IHG Hotel",Washington,"1,115",8.1,4,72,8.8,8.9,8.6,9.1,8.0,8.3,8.8,"1,000",650,7,4.0,1,True
The Baron ,Washington,377,6.5,3,641,8.4,7.1,7.5,6.9,7.1,6.4,6.6,2.2,450,7,3.0,2,False
Viceroy Washington DC,Washington,958,8.3,5,235,9.0,8.8,8.9,8.9,8.1,8.3,,1.3,800,7,4.0,5,
"Westin Georgetown, Washington D.C.",Washington,"1,171",8.1,4,84,9.2,8.6,8.9,8.6,7.8,8.2,,850,450,6,7.0,1,False
"West End Washington DC, Tapestry Collection by Hilton",Washington,815,7.8,4,287,8.8,8.5,8.2,8.4,8.0,8.0,7.9,850,450,6,6.0,2,False
The Normandy ,Washington,855,7.7,3,"1,238",8.6,8.2,8.6,8.2,8.0,7.7,7.8,1.6,950,8,5.0,2,True
"The Ven at Embassy Row, Washington, D.C., a Tribute Portfolio ",Washington,"1,063",8.1,4,216,9.1,8.5,9.0,8.6,7.7,8.0,8.0,2.3,250,7,4.0,3,True
Salamander Washington DC,Washington,"2,009",8.4,5,226,9.0,9.2,9.0,9.0,7.6,8.5,,900,550,3.9,5.0,3,True
The LINE  DC,Washington,"1,008",8.3,5,225,8.9,9.0,8.9,8.8,7.8,8.6,7.6,1.3,950,8,6.0,2,True
The Dupont Circle ,Washington,"1,155",8.8,5,701,9.4,9.3,9.3,9.2,8.3,8.9,8.9,2.1,100,7,4.0,4,True
The Avery Georgetown,Washington,"1,199",8.9,4,88,9.4,9.3,9.2,9.5,8.5,8.8,10,1.7,1.1,7,5.0,2,True
"2500 Penn, a Placemakr Experience",Washington,670,8.5,3,388,9.3,8.5,9.2,8.7,8.5,8.6,8.3,1.2,400,6,7.0,1,False
The Woodley Residences by LuxUrban,Washington,708,7.8,6,46,8.8,8.6,8.0,8.5,8.3,7.9,,2.1,450,9,4.0,1,
Selina Union Market,Washington,804,7.8,3,264,7.9,8.2,8.5,8.2,8.0,8.3,,1.8,650,8,2.0,1,True
Four Seasons Washington DC,Washington,"4,723",9.2,5,43,9.5,9.4,9.6,9.6,8.3,8.8,9.2,1.2,750,6,7.0,12,True
Sojourn at DuPont Place,Washington,"1,439",7.9,0,110,9.1,8.5,8.0,8.2,8.2,8.0,8.5,1.9,700,7,,2,True
"Courtyard by Marriott Washington, D.C./Foggy Bottom",Washington,"1,110",8.5,3,328,9.3,8.9,8.9,8.9,8.2,8.6,8.3,650,700,5,7.0,1,True
Kellogg Conference  at Gallaudet University,Washington,709,7.7,3,650,8.2,8.4,8.4,8.4,7.8,8.1,8.7,2,650,8,3.0,1,False
Days Inn by Wyndham Washington DC/Connecticut Avenue,Washington,399,6.3,2,"2,792",8.0,6.9,7.6,6.9,7.0,6.4,6.2,2.2,350,11,6.0,3,False
Generator  Washington DC,Washington,883,7.8,3,"1,094",8.7,8.5,8.4,8.4,8.0,8.2,7.8,1.7,750,7,7.0,2,False
Georgetown Inn,Washington,"1,048",8.2,4,409,9.7,8.7,8.7,8.8,7.9,8.0,8.1,1.3,1.4,7,4.0,2,False
American Guest House,Washington,993,9.0,0,15,9.7,9.3,9.3,9.3,8.5,9.2,10,1.6,950,8,3.0,3,False
"Motel 6-Washington, DC",Washington,351,5.3,2,906,6.9,5.9,6.9,6.0,6.1,5.7,6.5,3.7,850,9,4.0,1,True
"The Morrow Washington Dc, Curio Collection By Hilton",Washington,"1,165",8.0,4,2,7.5,8.8,10,10,8.8,8.8,,1.5,100,7,8.0,1,
"Kimpton  Monaco Washington DC, an IHG Hotel",Washington,"1,432",7.8,5,150,9.4,8.4,8.4,8.5,7.3,8.1,7.5,700,150,6,4.0,2,
Residence Inn by Marriott Washington Downtown/Convention Center,Washington,"1,620",8.6,3,414,9.1,9.2,8.7,9.1,8.6,8.9,8.4,800,250,6,9.0,2,True
Washington Marriott Georgetown,Washington,924,7.8,4,119,8.9,8.6,8.5,8.8,7.7,8.0,,1.7,550,6,7.0,5,False
Pendry Washington DC - The Wharf,Washington,"1,652",7.7,5,6,10,7.9,7.5,9.2,7.5,8.8,,1.2,450,3.4,7.0,5,True
The Madison ,Washington,"1,371",8.1,4,263,8.9,8.6,8.6,8.6,7.8,8.2,8.6,1.1,450,6,5.0,3,True
Wyndham Garden Washington DC North,Washington,815,6.7,3,"2,606",7.1,7.3,7.6,7.3,7.2,6.9,7.7,9,2.3,4.9,4.0,2,True
Ivy City ,Washington,492,5.8,2,822,6.6,6.4,7.1,6.4,6.5,6.2,7.0,3.3,1.5,9,4.0,1,False
"Residence Inn Washington, DC / Dupont Circle",Washington,"1,006",8.3,3,23,9.5,8.3,9.1,8.5,7.6,8.4,,2.1,350,7,7.0,2,False
"Motel 6-Washington, DC - Convention Center",Washington,347,4.6,2,185,5.9,5.1,6.4,5.3,5.3,5.1,5.9,1.8,600,8,4.0,1,True
