Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
"Holiday Inn Manhattan Financial District, an IHG ",New-York,952,7.9,4,"7,192",9.1,8.0,8.4,8.1,8.1,7.7,8.7,1.6,100,14,6.0,5,False
Hilton Club The Central at 5th New York,New-York,"1,589",8.2,4,44,9.3,8.9,9.0,8.9,7.6,8.6,2.5,1.2,400,9,6.0,1,False
Paramount  Times Square,New-York,933,6.5,4,"2,288",9.1,7.0,7.8,7.1,6.2,6.4,7.8,1.3,350,10,9.0,2,True
Best Western Plus Hospitality House Suites,New-York,"1,129",8.3,3,685,9.3,8.5,8.9,8.6,8.2,8.1,8.6,1.4,150,9,8.0,9,False
Eurostars Wall Street,New-York,694,7.6,4,522,8.9,7.8,8.8,7.8,7.5,7.3,7.5,850,300,14,6.0,2,False
Four Points by Sheraton New York Downtown,New-York,881,7.3,3,"2,157",8.4,7.6,8.2,7.7,7.3,7.3,7.9,700,250,14,6.0,1,False
The Peninsula New York,New-York,"2,934",8.8,5,565,9.7,9.2,9.3,9.3,7.8,8.7,9.4,1.2,150,9,3.0,9,True
Cachet Boutique  NYC,New-York,885,6.6,4,900,8.3,7.0,7.8,7.0,6.6,6.5,7.5,1.6,600,11,4.0,4,True
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,New-York,"1,210",7.6,4,"4,724",8.6,7.9,8.5,8.0,7.7,7.6,8.1,1.3,250,10,7.0,2,True
 St. James,New-York,"1,002",7.9,2,"1,424",9.7,8.1,9.2,8.1,8.1,7.3,8.4,850,300,10,3.0,6,False
"EVEN  New York Times Square South, an IHG Hotel",New-York,980,8.5,4,350,8.9,9.1,9.2,9.0,8.4,8.7,,1.5,150,11,6.0,3,True
Dream Downtown,New-York,"1,561",7.1,4,655,8.9,7.8,7.7,7.9,6.7,7.2,8.2,1.2,250,12,4.0,2,True
Courtyard New York Downtown Manhattan/Financial District,New-York,790,7.2,3,474,8.4,7.7,7.9,7.7,7.1,7.5,7.8,700,250,14,6.0,1,False
The Blakely by LuxUrban,New-York,748,7.8,0,"2,039",9.6,8.2,8.5,8.4,8.4,7.5,6.7,1.4,200,9,2.0,1,True
Hyatt Centric Wall Street New York,New-York,"1,216",8.4,4,241,8.8,8.9,8.9,8.7,8.0,8.5,7.7,750,200,14,6.0,1,True
Hampton Inn Manhattan Grand Central,New-York,"1,085",7.6,3,"1,483",8.9,7.9,8.4,7.9,7.7,7.5,8.1,1.2,400,9,7.0,3,False
Nolitan  SoHo - New York,New-York,"1,056",7.9,4,"1,140",9.0,8.4,8.6,8.5,7.9,7.9,7.6,1.8,150,12,3.0,3,True
Soho Grand ,New-York,"1,651",8.3,4,"1,199",9.3,8.8,8.4,8.9,7.8,8.4,7.2,1.3,200,13,6.0,3,True
Millennium Downtown New York,New-York,"1,233",7.4,4,"3,563",9.1,7.8,7.8,7.8,7.3,7.2,7.7,1.5,50,14,9.0,4,True
The Fifty Sonesta Select New York,New-York,920,8.0,4,762,9.0,8.4,8.5,8.3,7.8,8.0,10,1.5,150,9,10.0,4,True
